Column1,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
11900,Aaron Holiday,PHX,25,182.88,83.91452,UCLA,USA,2018,1,23,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223,2021-22
11984,Damion Lee,GSW,29,195.58,95.25432,Drexel,USA,Undrafted,Undrafted,Undrafted,63,7.4,3.2,1,2.8,0.022,0.136,0.156,0.561,0.072,2021-22
12053,Otto Porter Jr.,GSW,29,203.2,89.811216,Georgetown,USA,2013,1,3,63,8.2,5.7,1.5,6.8,0.06,0.189,0.145,0.581,0.097,2021-22
12235,Moritz Wagner,ORL,25,210.82,111.13004,Michigan,Germany,2018,1,25,63,9,3.7,1.4,-7.2,0.041,0.19,0.224,0.623,0.151,2021-22
12107,Terrence Ross,ORL,31,198.12,93.439952,Washington,USA,2012,1,8,63,10,2.6,1.8,-11.9,0.013,0.094,0.196,0.515,0.127,2021-22
12185,Kyle Lowry,MIA,36,182.88,88.904032,Villanova,USA,2006,1,24,63,13.4,4.5,7.5,5.9,0.016,0.116,0.178,0.6,0.321,2021-22
11862,Bogdan Bogdanovic,ATL,29,198.12,102.0582,None,Serbia,2014,1,27,63,15.1,4,3.1,4.5,0.016,0.116,0.212,0.562,0.152,2021-22
11987,Dalano Banton,TOR,22,200.66,92.532768,Nebraska,Canada,2021,2,46,64,3.2,1.9,1.5,1.5,0.048,0.124,0.159,0.463,0.197,2021-22
12072,R.J. Hampton,ORL,21,193.04,79.3786,None,USA,2020,1,24,64,7.6,3,2.5,-14.5,0.015,0.12,0.18,0.481,0.179,2021-22
11904,Ben McLemore,POR,29,190.5,88.45044,Kansas,USA,2013,1,7,64,10.2,1.6,0.9,-13.1,0.009,0.072,0.207,0.567,0.077,2021-22
11855,Brandon Clarke,MEM,25,203.2,97.52228,Gonzaga,Canada,2019,1,21,64,10.4,5.3,1.3,7.5,0.099,0.148,0.171,0.66,0.101,2021-22
11952,Dennis Schroder,HOU,28,185.42,78.017824,None,Germany,2013,1,17,64,13.5,3.3,4.6,-1,0.018,0.097,0.223,0.539,0.256,2021-22
12034,Seth Curry,BKN,31,187.96,83.91452,Duke,USA,Undrafted,Undrafted,Undrafted,64,15,3.1,3.6,4.5,0.01,0.082,0.182,0.615,0.162,2021-22
11878,Cade Cunningham,DET,20,198.12,99.79024,Oklahoma State,USA,2021,1,1,64,17.4,5.5,5.6,-6.2,0.026,0.143,0.273,0.504,0.283,2021-22
12024,Stephen Curry,GSW,34,187.96,83.91452,Davidson,USA,2009,1,7,64,25.5,5.2,6.3,10.7,0.015,0.126,0.293,0.601,0.286,2021-22
11758,Facundo Campazzo,DEN,31,177.8,88.45044,None,Argentina,Undrafted,Undrafted,Undrafted,65,5.1,1.8,3.4,-8.6,0.019,0.08,0.143,0.503,0.276,2021-22
11820,Ish Smith,WAS,33,182.88,79.3786,Wake Forest,USA,Undrafted,Undrafted,Undrafted,65,6.3,2.2,3.8,-6.7,0.021,0.1,0.195,0.465,0.318,2021-22
11784,Javonte Green,CHI,28,195.58,92.98636,Radford,USA,Undrafted,Undrafted,Undrafted,65,7.2,4.2,0.9,1.6,0.062,0.12,0.113,0.637,0.051,2021-22
11995,Cory Joseph,DET,30,190.5,90.7184,Texas-Austin,Canada,2011,1,29,65,8,2.7,3.6,-6.4,0.017,0.092,0.141,0.579,0.22,2021-22
11716,Hassan Whiteside,UTA,33,213.36,120.20188,Marshall,USA,2010,2,33,65,8.2,7.6,0.4,10.1,0.142,0.275,0.164,0.662,0.031,2021-22
